StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,type,votes,Total Formal Primary Votes,Total Primary Votes,VotesPcTotal,VotesPcFormalTotal,VotesPc
SA,179.0,Adelaide,36973.0,GEORGANAS,Steve,2.0,Y,Y,ALP,Australian Labor Party,OrdinaryVotes,33773,84292,87699,0.3851013124436995,0.4006667299387842,0.4006667299387842
SA,179.0,Adelaide,37714.0,GERHARD,Faith,6.0,N,N,CYA,Australian Federation Party,OrdinaryVotes,649,84292,87699,0.007400312432296834,0.0076994258055331465,0.0076994258055331465
SA,179.0,Adelaide,36463.0,GALDIES,Rebecca,5.0,N,N,GRN,The Greens,OrdinaryVotes,17671,84292,87699,0.20149602618045817,0.2096402980116737,0.2096402980116737
SA,179.0,Adelaide,37049.0,GRANTHAM,Amy,1.0,N,N,LP,Liberal,OrdinaryVotes,26365,84292,87699,0.30063056591295223,0.31278175864850755,0.31278175864850755
SA,179.0,Adelaide,36885.0,ALLWOOD,Gayle,7.0,N,N,ON,Pauline Hanson's One Nation,OrdinaryVotes,2362,84292,87699,0.02693303230367507,0.02802163906420538,0.02802163906420538
SA,179.0,Adelaide,36053.0,McMILLAN,Matthew,4.0,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",OrdinaryVotes,1182,84292,87699,0.0134779187904081,0.014022683054145115,0.014022683054145115
,,Adelaide,,,,,,,Total,,OrdinaryVotes,87699,84292,87699,1.0,1.0404190195985383,1.0404190195985383
,,Adelaide,,,,,,,Total Formal,,OrdinaryVotes,84292,84292,87699,0.9611512103900842,1.0,1.0
SA,179.0,Adelaide,36094.0,ALLWOOD,Sean,3.0,N,N,UAPP,United Australia Party,OrdinaryVotes,2290,84292,87699,0.026112042326594375,0.027167465477150855,0.027167465477150855
SA,179.0,Adelaide,999.0,Informal,Informal,999.0,N,N,,Informal,OrdinaryVotes,3407,84292,87699,0.03884878960991574,0.040419019598538414,0.03884878960991574
VIC,197.0,Aston,36377.0,DOYLE,Mary,7.0,N,N,ALP,Australian Labor Party,OrdinaryVotes,24897,75335,78035,0.319049144614596,0.3304838388531227,0.3304838388531227
VIC,197.0,Aston,36489.0,COOKSON,Asher,3.0,N,N,GRN,The Greens,OrdinaryVotes,9046,75335,78035,0.11592234253860448,0.12007698944713613,0.12007698944713613
VIC,197.0,Aston,36938.0,ROCHE,Liam,6.0,N,N,LDP,Liberal Democrats,OrdinaryVotes,1596,75335,78035,0.02045236112001025,0.021185372005044136,0.021185372005044136
VIC,197.0,Aston,36704.0,TUDGE,Alan,2.0,Y,Y,LP,Liberal,OrdinaryVotes,32251,75335,78035,0.41328890882296404,0.42810114820468576,0.42810114820468576
VIC,197.0,Aston,37636.0,IBBOTSON,Craig,5.0,N,N,ON,Pauline Hanson's One Nation,OrdinaryVotes,2136,75335,78035,0.02737233292753252,0.028353355014269596,0.028353355014269596
VIC,197.0,Aston,36181.0,BRUCE,Ryan,4.0,N,N,TNL,TNL,OrdinaryVotes,707,75335,78035,0.00906003716281156,0.00938474812504148,0.00938474812504148
,,Aston,,,,,,,Total,,OrdinaryVotes,78035,75335,78035,1.0,1.0358399150461273,1.0358399150461273
,,Aston,,,,,,,Total Formal,,OrdinaryVotes,75335,75335,78035,0.9654001409623887,1.0,1.0
VIC,197.0,Aston,35983.0,SPELMAN,Rebekah Jane,1.0,N,N,UAPP,United Australia Party,OrdinaryVotes,4702,75335,78035,0.0602550137758698,0.062414548350700205,0.062414548350700205
VIC,197.0,Aston,999.0,Informal,Informal,999.0,N,N,,Informal,OrdinaryVotes,2700,75335,78035,0.03459985903761133,0.035839915046127296,0.03459985903761133
VIC,198.0,Ballarat,36409.0,KING,Catherine,8.0,Y,Y,ALP,Australian Labor Party,OrdinaryVotes,34379,76826,81192,0.42342841659276775,0.44749173456902613,0.44749173456902613
VIC,198.0,Ballarat,37442.0,SEDGMAN,Kerryn,4.0,N,N,CYA,Australian Federation Party,OrdinaryVotes,556,76826,81192,0.006847965316779978,0.007237133262176867,0.007237133262176867
VIC,198.0,Ballarat,36491.0,BARNES,John,1.0,N,N,GRN,The Greens,OrdinaryVotes,11143,76826,81192,0.1372425854764016,0.14504204305833962,0.14504204305833962
VIC,198.0,Ballarat,33575.0,GRAHAM,Alex,3.0,N,N,IND,Independent,OrdinaryVotes,1514,76826,81192,0.018647157355404474,0.019706870070028377,0.019706870070028377
VIC,198.0,Ballarat,36993.0,McGRATH,Julia,7.0,N,N,LDP,Liberal Democrats,OrdinaryVotes,2650,76826,81192,0.03263868361414918,0.03449353083591492,0.03449353083591492
VIC,198.0,Ballarat,36703.0,GREEN,Ben,2.0,N,N,LP,Liberal,OrdinaryVotes,20943,76826,81192,0.25794413242684006,0.27260302501757216,0.27260302501757216
VIC,198.0,Ballarat,37733.0,TAXIS,Rosalie,6.0,N,N,ON,Pauline Hanson's One Nation,OrdinaryVotes,2590,76826,81192,0.03189969455118731,0.03371254523208289,0.03371254523208289
,,Ballarat,,,,,,,Total,,OrdinaryVotes,81192,76826,81192,1.0,1.0568297191055112,1.0568297191055112
,,Ballarat,,,,,,,Total Formal,,OrdinaryVotes,76826,76826,81192,0.9462262291851414,1.0,1.0
VIC,198.0,Ballarat,35985.0,PRYSE-SMITH,Terri Elizabeth,5.0,N,N,UAPP,United Australia Party,OrdinaryVotes,3051,76826,81192,0.037577593851610996,0.03971311795485903,0.03971311795485903
VIC,198.0,Ballarat,999.0,Informal,Informal,999.0,N,N,,Informal,OrdinaryVotes,4366,76826,81192,0.05377377081485861,0.056829719105511156,0.05377377081485861
NSW,103.0,Banks,36774.0,SOON,Zhi,7.0,N,N,ALP,Labor,OrdinaryVotes,26704,75278,80970,0.32980116092379896,0.3547384361964983,0.3547384361964983
NSW,103.0,Banks,36330.0,HANNA,Natalie,4.0,N,N,GRN,The Greens,OrdinaryVotes,6361,75278,80970,0.07855996047918982,0.08450011955684264,0.08450011955684264
NSW,103.0,Banks,36651.0,COCKER,Elouise Ivy,2.0,N,N,LDP,Liberal Democrats,OrdinaryVotes,974,75278,80970,0.01202914659750525,0.012938707192008288,0.012938707192008288
NSW,103.0,Banks,37018.0,COLEMAN,David,1.0,Y,Y,LP,Liberal,OrdinaryVotes,34082,75278,80970,0.4209213288872422,0.4527484789712798,0.4527484789712798
NSW,103.0,Banks,37388.0,KHOUW,Steve,5.0,N,N,NAFD,,OrdinaryVotes,804,75278,80970,0.009929603556872916,0.01068041127553867,0.01068041127553867
NSW,103.0,Banks,37773.0,HEFFERNAN,Malcolm Phillip,6.0,N,N,ON,Pauline Hanson's One Nation,OrdinaryVotes,2028,75278,80970,0.025046313449425713,0.02694014187411993,0.02694014187411993
