StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,type,value
ACT,318,Bean,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,OrdinaryVotes,2479.0
ACT,318,Bean,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,OrdinaryVotes,2304.0
ACT,318,Bean,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,OrdinaryVotes,35883.0
ACT,318,Bean,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,OrdinaryVotes,6953.0
ACT,318,Bean,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,OrdinaryVotes,12474.0
ACT,318,Bean,37198,HIATT,Jane,6,N,N,LP,Liberal,OrdinaryVotes,25241.0
ACT,318,Bean,999,Informal,Informal,999,N,N,,Informal,OrdinaryVotes,2573.0
ACT,101,Canberra,36238,SMITH,Catherine,1,N,N,UAPP,United Australia Party,OrdinaryVotes,1349.0
ACT,101,Canberra,37456,MILES,James,2,N,N,ON,Pauline Hanson's One Nation,OrdinaryVotes,1227.0
ACT,101,Canberra,32830,BOHM,Tim,3,N,N,IND,Independent,OrdinaryVotes,3841.0
ACT,101,Canberra,37211,MINSON,Slade,4,N,N,LP,Liberal,OrdinaryVotes,16264.0
ACT,101,Canberra,36241,HOLLO,Tim,5,N,N,GRN,The Greens,OrdinaryVotes,19240.0
ACT,101,Canberra,36228,PAYNE,Alicia,6,Y,Y,ALP,Australian Labor Party,OrdinaryVotes,34574.0
ACT,101,Canberra,999,Informal,Informal,999,N,N,,Informal,OrdinaryVotes,1340.0
ACT,102,Fenner,36234,LEIGH,Andrew,1,Y,Y,ALP,Australian Labor Party,OrdinaryVotes,38493.0
ACT,102,Fenner,37203,KUSTER,Nathan,2,N,N,LP,Liberal,OrdinaryVotes,21806.0
ACT,102,Fenner,36237,ELTON,Timothy Peter,3,N,N,UAPP,United Australia Party,OrdinaryVotes,1987.0
ACT,102,Fenner,37458,GRANT,Lucia,4,N,N,ON,Pauline Hanson's One Nation,OrdinaryVotes,1984.0
ACT,102,Fenner,36242,SOJIC,Natasa,5,N,N,GRN,The Greens,OrdinaryVotes,13206.0
ACT,102,Fenner,37599,JAKEMAN,Guy,6,N,N,LDP,Liberal Democrats,OrdinaryVotes,1434.0
ACT,102,Fenner,999,Informal,Informal,999,N,N,,Informal,OrdinaryVotes,2222.0
NSW,103,Banks,37018,COLEMAN,David,1,Y,Y,LP,Liberal,OrdinaryVotes,34082.0
NSW,103,Banks,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,OrdinaryVotes,974.0
NSW,103,Banks,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,OrdinaryVotes,4325.0
NSW,103,Banks,36330,HANNA,Natalie,4,N,N,GRN,The Greens,OrdinaryVotes,6361.0
NSW,103,Banks,37388,KHOUW,Steve,5,N,N,NAFD,,OrdinaryVotes,804.0
NSW,103,Banks,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,OrdinaryVotes,2028.0
